Library, PyQt5
Time [s], Voltage [V]
1.0, 3.32356
2.0, 3.30401
3.0, 3.31378
4.0, 3.29912
5.0, 3.31378
6.0, 3.30401
7.0, 3.31378
8.0, 3.30401
9.0, 3.30890
10.0, 3.30401
11.0, 3.31378
12.0, 3.29912
13.0, 3.30890
14.0, 3.29912
15.0, 3.31378
16.0, 3.30401
17.0, 3.30890
18.0, 3.30401
19.0, 3.31378
20.0, 3.29912
21.0, 3.31378
22.0, 3.30401
23.0, 3.31378
24.0, 3.29912
25.0, 3.31378
26.0, 3.30401
27.0, 3.30890
28.0, 3.30401
29.0, 3.30890
30.0, 3.30401
31.0, 3.30890
32.0, 3.30401
33.0, 3.31378
34.0, 3.30401
35.0, 3.30890
36.0, 3.30401
37.0, 3.31378
38.0, 3.30401
39.0, 3.30890
40.0, 3.30401
41.0, 3.30890
42.0, 3.30401
43.0, 3.30890
44.0, 3.29912
45.0, 3.31867
46.0, 3.30401
47.0, 3.31378
48.0, 3.29912
49.0, 3.31378
50.0, 3.29912
51.0, 3.30890
52.0, 3.30401
53.0, 3.31378
54.0, 3.30401
55.0, 3.31867
56.0, 3.30401
57.0, 3.31867
58.0, 3.30401
59.0, 3.31378
60.0, 3.30401
61.0, 3.31378
62.0, 3.30401
63.0, 3.31378
64.0, 3.29912
65.0, 3.30401
66.0, 0.01955
67.0, 0.28837
68.0, 0.00000
69.0, 0.00000
70.0, 0.00000
71.0, 0.00000
72.0, 0.00000
73.0, 0.00000
74.0, 0.00000
75.0, 0.00000
76.0, 0.00000
77.0, 0.00000
78.0, 0.00000
79.0, 0.00000
80.0, 0.00000
81.0, 0.00000
82.0, 0.00000
83.0, 0.00000
84.0, 0.00000
85.0, 0.00000
86.0, 0.00000
87.0, 0.00000
88.0, 0.00000
89.0, 0.00000
90.0, 0.00000
91.0, 0.00000
92.0, 0.00000
93.0, 0.00000
94.0, 0.00000
95.0, 0.00000
96.0, 0.00000
97.0, 0.00000
98.0, 0.00000
99.0, 0.00000
100.0, 0.00000
101.0, 0.00000
102.0, 2.77126
103.0, 5.00000
104.0, 4.43304
105.0, 4.51613
106.0, 4.43304
107.0, 4.51613
108.0, 4.43793
109.0, 4.51124
110.0, 4.43793
111.0, 4.51613
112.0, 4.43304
113.0, 4.51613
114.0, 4.43304
115.0, 4.51613
116.0, 4.43793
117.0, 4.51613
118.0, 4.43793
119.0, 4.52102
120.0, 4.43793
121.0, 4.52102
122.0, 4.43793
123.0, 4.51613
124.0, 4.43793
125.0, 4.51613
126.0, 4.43304
127.0, 4.51124
128.0, 4.43304
129.0, 4.51613
130.0, 4.43793
131.0, 4.52102
132.0, 4.43793
133.0, 4.51613
134.0, 4.43793
135.0, 4.51124
136.0, 4.43304
137.0, 4.51613
138.0, 4.43304
139.0, 4.51613
140.0, 4.43793
141.0, 4.52102
142.0, 4.43304
143.0, 4.52102
144.0, 4.43793
145.0, 4.52102
146.0, 4.43304
147.0, 4.51613
148.0, 4.43793
149.0, 4.51613
150.0, 4.43304
151.0, 4.51613
152.0, 4.43304
153.0, 4.51613
154.0, 0.00000
155.0, 0.00000
156.0, 0.00000
157.0, 0.00000
158.0, 0.00000
159.0, 0.00000
160.0, 0.00000
161.0, 0.00000
162.0, 0.00000
163.0, 0.00000
164.0, 0.00000
165.0, 5.00000
166.0, 4.99511
167.0, 5.00000
168.0, 5.00000
169.0, 5.00000
170.0, 4.99511
171.0, 5.00000
172.0, 4.99511
173.0, 5.00000
174.0, 4.99511
175.0, 5.00000
176.0, 4.99511
177.0, 5.00000
178.0, 4.99511
179.0, 5.00000
180.0, 4.99511
181.0, 5.00000
182.0, 4.99511
183.0, 5.00000
184.0, 4.99511
185.0, 5.00000
186.0, 4.99511
187.0, 5.00000
188.0, 4.99511
189.0, 5.00000
190.0, 4.99511
191.0, 5.00000
192.0, 5.00000
193.0, 5.00000
194.0, 4.99511
195.0, 5.00000
196.0, 4.99511
197.0, 5.00000
198.0, 4.99511
199.0, 5.00000
200.0, 4.99511
201.0, 5.00000
202.0, 4.99511
203.0, 5.00000
204.0, 5.00000
205.0, 5.00000
206.0, 4.99511
207.0, 5.00000
208.0, 4.99511
209.0, 5.00000
210.0, 4.99511
211.0, 5.00000
212.0, 4.99511
213.0, 5.00000
214.0, 4.99511
215.0, 5.00000
216.0, 4.99511
217.0, 5.00000
218.0, 4.99511
219.0, 5.00000
220.0, 4.99511
221.0, 5.00000
222.0, 4.99511
223.0, 5.00000
224.0, 4.99511
225.0, 5.00000
226.0, 4.99511
227.0, 5.00000
228.0, 4.99511
229.0, 5.00000
230.0, 4.99511
231.0, 5.00000
232.0, 4.99511
233.0, 5.00000
234.0, 4.99511
235.0, 5.00000
236.0, 4.99511
237.0, 5.00000
238.0, 4.99511
239.0, 5.00000
240.0, 4.99511
241.0, 5.00000
242.0, 4.99511
243.0, 5.00000
244.0, 4.99511
245.0, 5.00000
246.0, 4.99511
247.0, 5.00000
248.0, 4.99511
249.0, 5.00000
250.0, 5.00000
251.0, 5.00000
252.0, 4.99511
253.0, 5.00000
254.0, 4.99511
255.0, 5.00000
256.0, 4.99511
257.0, 5.00000
258.0, 4.99511
259.0, 5.00000
260.0, 4.99511
261.0, 5.00000
262.0, 4.99511
263.0, 5.00000
264.0, 4.99511
265.0, 5.00000
266.0, 4.99511
267.0, 5.00000
268.0, 4.99511
269.0, 5.00000
270.0, 5.00000
271.0, 5.00000
272.0, 4.99511
273.0, 5.00000
274.0, 4.99511
275.0, 5.00000
276.0, 4.99511
277.0, 5.00000
278.0, 5.00000
279.0, 5.00000
280.0, 4.99511
281.0, 5.00000
282.0, 0.00000
283.0, 0.00000
284.0, 0.00000
285.0, 0.00000
286.0, 0.00000
287.0, 0.00000
288.0, 0.00000
289.0, 0.00000
290.0, 0.00000
291.0, 0.00000
292.0, 0.00000
293.0, 0.00000
294.0, 0.00000
295.0, 0.00000
296.0, 0.00000
297.0, 0.00000
298.0, 0.00000
299.0, 0.00000
300.0, 0.00000
301.0, 0.00000
302.0, 0.00000
303.0, 0.00000
304.0, 0.00000
305.0, 0.00000
306.0, 0.00000
307.0, 0.00000
308.0, 0.00000
309.0, 0.00000
310.0, 0.00000
311.0, 0.00000
312.0, 0.00000
313.0, 0.00000
314.0, 0.00000
315.0, 0.00000
316.0, 0.00000
317.0, 0.00000
318.0, 0.00000
319.0, 0.00000
320.0, 0.00000
321.0, 0.00000
322.0, 0.00000
323.0, 0.00000
324.0, 0.00000
325.0, 0.00000
326.0, 0.00000
327.0, 0.00000
328.0, 4.99511
329.0, 5.00000
330.0, 4.99511
331.0, 5.00000
332.0, 4.99511
333.0, 5.00000
334.0, 4.99511
335.0, 5.00000
336.0, 4.99511
337.0, 5.00000
338.0, 5.00000
339.0, 5.00000
340.0, 4.99511
341.0, 5.00000
342.0, 5.00000
343.0, 5.00000
344.0, 5.00000
345.0, 0.00000
346.0, 0.00000
347.0, 0.00000
348.0, 0.00000
349.0, 0.00000
350.0, 0.00000
351.0, 0.00000
352.0, 0.00000
353.0, 0.00000
354.0, 0.00000
355.0, 0.00000
356.0, 0.00000
357.0, 0.00000
358.0, 0.00000
359.0, 0.00000
360.0, 0.00000
361.0, 0.00000
362.0, 0.00000
363.0, 0.00000
364.0, 0.00000
365.0, 0.00000
366.0, 0.00000
367.0, 0.00000
368.0, 0.00000
369.0, 0.00000
370.0, 0.00000
371.0, 0.00000
372.0, 0.00000
373.0, 0.00000
374.0, 0.00000
375.0, 0.00000
376.0, 0.00000
377.0, 0.00000
378.0, 0.00000
379.0, 0.00000
380.0, 0.00000
381.0, 0.00000
382.0, 0.00000
383.0, 0.00000
384.0, 0.00000
385.0, 0.00000
386.0, 0.00000
387.0, 0.00000
388.0, 0.00000
389.0, 0.00000
390.0, 0.00000
391.0, 0.00000
392.0, 0.00000
393.0, 0.00000
394.0, 0.00000
395.0, 0.00000
396.0, 0.00000
397.0, 0.00000
398.0, 0.00000
399.0, 0.00000
400.0, 0.00000
401.0, 0.00000
402.0, 0.00000
403.0, 0.00000
404.0, 0.00000
405.0, 0.00000
406.0, 0.00000
407.0, 0.00000
408.0, 0.00000
409.0, 0.00000
410.0, 0.00000
411.0, 0.00000
412.0, 0.00000
413.0, 0.00000
414.0, 0.00000
415.0, 0.00000
416.0, 0.00000
417.0, 0.00000
418.0, 0.00000
419.0, 0.00000
420.0, 0.00000
421.0, 0.00000
